feature,coefficient,selected,split_id,target_column,alpha,l1_ratio,inner_cv_daily_cs_ic
z_Federal_Funds_Rate,0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_Treasury_10Y,0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_Yield_Spread_10Y2Y,0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_Breakeven_Inflation_10Y,0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_CPI,0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_Unemployment_Rate,-0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_Financial_Conditions_Index,0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_VIX,0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_rate_sensitivity_beta,-0.0002641827459345192,True,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
ETF_XLC,-0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
ETF_XLE,-0.0007269158252575553,True,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
ETF_XLF,-0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
ETF_XLI,0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
ETF_XLK,0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
ETF_XLP,0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
ETF_XLRE,0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
ETF_XLU,0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
ETF_XLV,-0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
ETF_XLY,0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_return_5d,-0.0004795435527648757,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_return_5d_rel_spy,-4.344170934942415e-06,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_return_5d_excess_rf,-1.965951105381726e-08,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_return_20d,0.0,False,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_return_20d_rel_spy,0.0,False,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_return_20d_excess_rf,0.0,False,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_return_60d_rel_spy,-0.0008888963933051784,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_price_to_MA20,-0.0010323905812218653,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
