feature,gain_importance,split_id,target_column
z_MA20_minus_MA50,1.2603011776227504,3,target_5d_forward_return_excess_spy
z_volatility_20d,1.0333710525883362,3,target_5d_forward_return_excess_spy
z_max_drawdown_60d,2.1064977115020156,3,target_5d_forward_return_excess_spy
z_ATR_14,1.9257790596457198,3,target_5d_forward_return_excess_spy
z_volume_change,0.04177725990302861,3,target_5d_forward_return_excess_spy
z_relative_volume,0.31593111949041486,3,target_5d_forward_return_excess_spy
z_RSI_14,0.528743238770403,3,target_5d_forward_return_excess_spy
z_market_beta_60d,1.6124373003840446,3,target_5d_forward_return_excess_spy
z_idio_vol_60d,2.5835180586436763,3,target_5d_forward_return_excess_spy
z_Federal_Funds_Rate,1.2602916586911306,3,target_5d_forward_return_excess_spy
z_Treasury_10Y,0.9490891421446577,3,target_5d_forward_return_excess_spy
z_Yield_Spread_10Y2Y,1.274780957843177,3,target_5d_forward_return_excess_spy
z_Breakeven_Inflation_10Y,0.970705438638106,3,target_5d_forward_return_excess_spy
z_CPI,1.056002750643529,3,target_5d_forward_return_excess_spy
z_Unemployment_Rate,1.6887607716489583,3,target_5d_forward_return_excess_spy
z_Financial_Conditions_Index,2.760638231993653,3,target_5d_forward_return_excess_spy
z_VIX,2.0510794782312587,3,target_5d_forward_return_excess_spy
z_rate_sensitivity_beta,1.4605692079057917,3,target_5d_forward_return_excess_spy
ETF,0.8801925480365753,3,target_5d_forward_return_excess_spy
z_return_5d,0.7204187696333975,4,target_5d_forward_return_excess_spy
z_return_5d_rel_spy,0.15446029882878065,4,target_5d_forward_return_excess_spy
z_return_5d_excess_rf,0.017748000100255013,4,target_5d_forward_return_excess_spy
z_return_20d,0.7918952067848295,4,target_5d_forward_return_excess_spy
z_return_20d_rel_spy,0.1852416703477502,4,target_5d_forward_return_excess_spy
z_return_20d_excess_rf,0.057584259659051895,4,target_5d_forward_return_excess_spy
z_return_60d_rel_spy,1.6589755220338702,4,target_5d_forward_return_excess_spy
z_price_to_MA20,0.9792071500560269,4,target_5d_forward_return_excess_spy
z_price_to_MA50,0.9736491732764989,4,target_5d_forward_return_excess_spy
z_MA20_minus_MA50,1.6484918459318578,4,target_5d_forward_return_excess_spy
z_volatility_20d,0.8872594997519627,4,target_5d_forward_return_excess_spy
z_max_drawdown_60d,2.6220493434229866,4,target_5d_forward_return_excess_spy
z_ATR_14,2.1756120353238657,4,target_5d_forward_return_excess_spy
z_volume_change,0.1130059597780928,4,target_5d_forward_return_excess_spy
z_relative_volume,0.33643879124429077,4,target_5d_forward_return_excess_spy
z_RSI_14,0.7334187526721507,4,target_5d_forward_return_excess_spy
z_market_beta_60d,2.211536811781116,4,target_5d_forward_return_excess_spy
z_idio_vol_60d,2.443044415093027,4,target_5d_forward_return_excess_spy
z_Federal_Funds_Rate,1.3583066546125337,4,target_5d_forward_return_excess_spy
z_Treasury_10Y,0.9224240480689332,4,target_5d_forward_return_excess_spy
z_Yield_Spread_10Y2Y,1.25954892183654,4,target_5d_forward_return_excess_spy
z_Breakeven_Inflation_10Y,1.1683511474402621,4,target_5d_forward_return_excess_spy
z_CPI,1.491032711113803,4,target_5d_forward_return_excess_spy
z_Unemployment_Rate,1.6034114989452064,4,target_5d_forward_return_excess_spy
z_Financial_Conditions_Index,2.726030152756721,4,target_5d_forward_return_excess_spy
z_VIX,2.2359708267031237,4,target_5d_forward_return_excess_spy
z_rate_sensitivity_beta,1.4983187027974054,4,target_5d_forward_return_excess_spy
ETF,0.9995284250471741,4,target_5d_forward_return_excess_spy
z_return_5d,0.7680964097380638,5,target_5d_forward_return_excess_spy
z_return_5d_rel_spy,0.20121576986275613,5,target_5d_forward_return_excess_spy
z_return_5d_excess_rf,0.03762782015837729,5,target_5d_forward_return_excess_spy
z_return_20d,0.8757399918977171,5,target_5d_forward_return_excess_spy
z_return_20d_rel_spy,0.24295469257049263,5,target_5d_forward_return_excess_spy
z_return_20d_excess_rf,0.02861877018585801,5,target_5d_forward_return_excess_spy
z_return_60d_rel_spy,1.6523164589889348,5,target_5d_forward_return_excess_spy
z_price_to_MA20,1.066251094918698,5,target_5d_forward_return_excess_spy
z_price_to_MA50,1.172822881839238,5,target_5d_forward_return_excess_spy
z_MA20_minus_MA50,1.589151072781533,5,target_5d_forward_return_excess_spy
z_volatility_20d,1.2849615346640348,5,target_5d_forward_return_excess_spy
z_max_drawdown_60d,2.7807793421670794,5,target_5d_forward_return_excess_spy
z_ATR_14,1.9597401800565422,5,target_5d_forward_return_excess_spy
z_volume_change,0.1350653194822371,5,target_5d_forward_return_excess_spy
z_relative_volume,0.35105065011885017,5,target_5d_forward_return_excess_spy
z_RSI_14,0.7070787085685879,5,target_5d_forward_return_excess_spy
z_market_beta_60d,1.926712018204853,5,target_5d_forward_return_excess_spy
z_idio_vol_60d,2.7330325332004577,5,target_5d_forward_return_excess_spy
z_Federal_Funds_Rate,1.2945790191879496,5,target_5d_forward_return_excess_spy
z_Treasury_10Y,0.7809304411057383,5,target_5d_forward_return_excess_spy
z_Yield_Spread_10Y2Y,1.2293860206846148,5,target_5d_forward_return_excess_spy
z_Breakeven_Inflation_10Y,1.1286277866456658,5,target_5d_forward_return_excess_spy
z_CPI,1.8350984171265736,5,target_5d_forward_return_excess_spy
z_Unemployment_Rate,1.9317735573276877,5,target_5d_forward_return_excess_spy
z_Financial_Conditions_Index,2.5404296225169674,5,target_5d_forward_return_excess_spy
z_VIX,2.39939104905352,5,target_5d_forward_return_excess_spy
z_rate_sensitivity_beta,1.4948441736632958,5,target_5d_forward_return_excess_spy
ETF,1.2159782818052918,5,target_5d_forward_return_excess_spy
