feature,coefficient,selected,etf,split_id,target_column,alpha,l1_ratio,inner_cv_time_series_rank_ic
z_Unemployment_Rate,0.0009898038137927379,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_Financial_Conditions_Index,0.00114997485071249,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_VIX,0.002234390673519034,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_rate_sensitivity_beta,0.010774522871899927,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_return_5d,-0.0008071871831227485,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_return_5d_rel_spy,-1.9898068625207576e-05,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_return_5d_excess_rf,-2.4551766703534917e-07,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_return_20d,0.0017853363127257676,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_return_20d_rel_spy,3.7067941395412534e-05,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_return_20d_excess_rf,3.934684912978152e-07,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_return_60d_rel_spy,-0.003759003619138098,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_price_to_MA20,-0.002822359405583652,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_price_to_MA50,-0.004234067881121137,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_MA20_minus_MA50,0.0026097545045614574,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_volatility_20d,-0.001019377403986212,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_max_drawdown_60d,0.0058438349291588376,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_ATR_14,-0.0001225614341481557,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_volume_change,0.0020571442519890003,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_relative_volume,-0.002686095729491884,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_RSI_14,0.0011821959051125795,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_market_beta_60d,-0.016967810217896496,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_idio_vol_60d,-0.0005225611266307125,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_Federal_Funds_Rate,0.002002027619816596,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_Treasury_10Y,0.0054434192246954494,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_Yield_Spread_10Y2Y,-0.0024558558146892456,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_Breakeven_Inflation_10Y,-0.0011890045045571116,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
z_CPI,-0.00023583071893707176,True,XLU,1,target_5d_forward_return_raw,0.0001,0.3,-0.018029531987804104
